date_time,wind speed,wind dir
2017-07-01 01:00:00,28,235
2017-07-01 04:00:00,29,245
2017-07-01 07:00:00,28,245
2017-07-01 10:00:00,29,245
2017-07-01 13:00:00,31,240
2017-07-01 16:00:00,28,240
2017-07-01 19:00:00,26,245
2017-07-01 22:00:00,31,245
2017-07-02 01:00:00,30,250
2017-07-02 04:00:00,30,260
2017-07-02 07:00:00,30,270
2017-07-02 10:00:00,31,265
2017-07-02 13:00:00,38,265
2017-07-02 16:00:00,36,265
2017-07-02 19:00:00,38,265
2017-07-02 22:00:00,33,275
2017-07-03 01:00:00,25,285
2017-07-03 04:00:00,24,280
2017-07-03 07:00:00,20,280
2017-07-03 10:00:00,19,275
2017-07-03 13:00:00,17,265
2017-07-03 16:00:00,15,250
2017-07-03 19:00:00,22,255
2017-07-03 22:00:00,26,245
2017-07-04 01:00:00,28,265
2017-07-04 04:00:00,33,285
2017-07-04 07:00:00,35,295
2017-07-04 10:00:00,34,300
2017-07-04 13:00:00,24,290
2017-07-04 16:00:00,19,285
2017-07-04 19:00:00,15,285
2017-07-04 22:00:00,13,260
2017-07-05 01:00:00,13,245
2017-07-05 04:00:00,15,240
2017-07-05 07:00:00,24,260
2017-07-05 10:00:00,23,270
2017-07-05 13:00:00,12,275
2017-07-05 16:00:00,13,255
2017-07-05 19:00:00,15,240
2017-07-05 22:00:00,19,235
2017-07-06 01:00:00,25,240
2017-07-06 04:00:00,23,255
2017-07-06 07:00:00,22,250
2017-07-06 10:00:00,21,255
2017-07-06 13:00:00,20,245
2017-07-06 16:00:00,24,240
2017-07-06 19:00:00,20,250
2017-07-06 22:00:00,25,235
2017-07-07 01:00:00,34,235
2017-07-07 04:00:00,39,235
2017-07-07 07:00:00,26,250
2017-07-07 10:00:00,16,280
2017-07-07 13:00:00,15,250
2017-07-07 16:00:00,19,250
2017-07-07 19:00:00,25,250
2017-07-07 22:00:00,25,255
2017-07-08 01:00:00,24,240
2017-07-08 04:00:00,21,235
2017-07-08 07:00:00,17,260
2017-07-08 10:00:00,14,285
2017-07-08 13:00:00,18,290
2017-07-08 16:00:00,20,270
2017-07-08 19:00:00,21,250
2017-07-08 22:00:00,23,245
2017-07-09 01:00:00,19,260
2017-07-09 04:00:00,18,255
2017-07-09 07:00:00,24,250
2017-07-09 10:00:00,25,255
2017-07-09 13:00:00,15,245
2017-07-09 16:00:00,18,245
2017-07-09 19:00:00,19,240
2017-07-09 22:00:00,20,235
2017-07-10 01:00:00,26,225
2017-07-10 04:00:00,27,240
2017-07-10 07:00:00,28,250
2017-07-10 10:00:00,26,265
2017-07-10 13:00:00,21,265
2017-07-10 16:00:00,25,285
2017-07-10 19:00:00,26,295
2017-07-10 22:00:00,18,285
2017-07-11 01:00:00,19,300
2017-07-11 04:00:00,14,320
2017-07-11 07:00:00,7,325
2017-07-11 10:00:00,3,300
2017-07-11 13:00:00,4,230
2017-07-11 16:00:00,6,240
2017-07-11 19:00:00,6,235
2017-07-11 22:00:00,4,235
2017-07-12 01:00:00,17,225
2017-07-12 04:00:00,20,240
2017-07-12 07:00:00,24,235
2017-07-12 10:00:00,21,230
2017-07-12 13:00:00,21,215
2017-07-12 16:00:00,23,220
2017-07-12 19:00:00,26,215
2017-07-12 22:00:00,25,220
2017-07-13 01:00:00,31,230
2017-07-13 04:00:00,30,245
2017-07-13 07:00:00,22,250
2017-07-13 10:00:00,19,255
2017-07-13 13:00:00,16,245
2017-07-13 16:00:00,15,270
2017-07-13 19:00:00,6,295
2017-07-13 22:00:00,11,255
2017-07-14 01:00:00,9,255
2017-07-14 04:00:00,11,260
2017-07-14 07:00:00,16,265
2017-07-14 10:00:00,14,285
2017-07-14 13:00:00,12,310
2017-07-14 16:00:00,15,300
2017-07-14 19:00:00,8,320
2017-07-14 22:00:00,5,295
2017-07-15 01:00:00,5,320
2017-07-15 04:00:00,10,300
2017-07-15 07:00:00,17,295
2017-07-15 10:00:00,19,295
2017-07-15 13:00:00,17,285
2017-07-15 16:00:00,20,290
2017-07-15 19:00:00,26,295
2017-07-15 22:00:00,26,320
2017-07-16 01:00:00,26,320
2017-07-16 04:00:00,27,305
2017-07-16 07:00:00,7,305
2017-07-16 10:00:00,9,305
2017-07-16 13:00:00,9,340
2017-07-16 16:00:00,10,330
2017-07-16 19:00:00,14,275
2017-07-16 22:00:00,19,280
2017-07-17 01:00:00,15,265
2017-07-17 04:00:00,27,275
2017-07-17 07:00:00,42,260
2017-07-17 10:00:00,37,265
2017-07-17 13:00:00,26,260
2017-07-17 16:00:00,29,240
2017-07-17 19:00:00,32,250
2017-07-17 22:00:00,47,250
2017-07-18 01:00:00,51,250
2017-07-18 04:00:00,51,260
2017-07-18 07:00:00,37,255
2017-07-18 10:00:00,32,255
2017-07-18 13:00:00,25,260
2017-07-18 16:00:00,26,265
2017-07-18 19:00:00,19,275
2017-07-18 22:00:00,14,280
2017-07-19 01:00:00,16,280
2017-07-19 04:00:00,22,295
2017-07-19 07:00:00,31,295
2017-07-19 10:00:00,30,295
2017-07-19 13:00:00,27,295
2017-07-19 16:00:00,25,300
2017-07-19 19:00:00,15,265
2017-07-19 22:00:00,14,255
2017-07-20 01:00:00,19,265
2017-07-20 04:00:00,19,290
2017-07-20 07:00:00,24,315
2017-07-20 10:00:00,24,315
2017-07-20 13:00:00,22,310
2017-07-20 16:00:00,20,300
2017-07-20 19:00:00,16,280
2017-07-20 22:00:00,14,235
2017-07-21 01:00:00,16,230
2017-07-21 04:00:00,14,235
2017-07-21 07:00:00,13,250
2017-07-21 10:00:00,8,250
2017-07-21 13:00:00,4,245
2017-07-21 16:00:00,3,205
2017-07-21 19:00:00,7,230
2017-07-21 22:00:00,8,185
2017-07-22 01:00:00,16,200
2017-07-22 04:00:00,17,225
2017-07-22 07:00:00,12,225
2017-07-22 10:00:00,11,230
2017-07-22 13:00:00,12,230
2017-07-22 16:00:00,11,245
2017-07-22 19:00:00,13,240
2017-07-22 22:00:00,14,240
