date_time,wind speed,wind dir
1/7/2017 1:00,25,245
1/7/2017 4:00,25,250
1/7/2017 7:00,25,240
1/7/2017 10:00,26,245
1/7/2017 13:00,21,240
1/7/2017 16:00,23,235
1/7/2017 19:00,31,235
1/7/2017 22:00,29,255
2/7/2017 1:00,26,255
2/7/2017 4:00,30,260
2/7/2017 7:00,31,250
2/7/2017 10:00,30,250
2/7/2017 13:00,28,250
2/7/2017 16:00,27,245
2/7/2017 19:00,44,275
2/7/2017 22:00,38,280
3/7/2017 1:00,35,280
3/7/2017 4:00,35,280
3/7/2017 7:00,31,270
3/7/2017 10:00,31,270
3/7/2017 13:00,21,260
3/7/2017 16:00,26,260
3/7/2017 19:00,33,265
3/7/2017 22:00,37,275
4/7/2017 1:00,42,280
4/7/2017 4:00,43,275
4/7/2017 7:00,39,280
4/7/2017 10:00,37,275
4/7/2017 13:00,34,275
4/7/2017 16:00,34,275
4/7/2017 19:00,32,275
4/7/2017 22:00,38,275
5/7/2017 1:00,41,265
5/7/2017 4:00,41,265
5/7/2017 7:00,35,255
5/7/2017 10:00,36,255
5/7/2017 13:00,37,255
5/7/2017 16:00,41,260
5/7/2017 19:00,34,275
5/7/2017 22:00,40,265
6/7/2017 1:00,37,265
6/7/2017 4:00,39,260
6/7/2017 7:00,37,255
6/7/2017 10:00,37,255
6/7/2017 13:00,28,255
6/7/2017 16:00,33,250
6/7/2017 19:00,30,240
6/7/2017 22:00,29,235
7/7/2017 1:00,38,250
7/7/2017 4:00,37,255
7/7/2017 7:00,29,255
7/7/2017 10:00,25,250
7/7/2017 13:00,18,240
7/7/2017 16:00,21,245
7/7/2017 19:00,29,245
7/7/2017 22:00,29,255
8/7/2017 1:00,25,245
8/7/2017 4:00,27,250
8/7/2017 7:00,25,270
8/7/2017 10:00,21,260
8/7/2017 13:00,17,250
8/7/2017 16:00,20,240
8/7/2017 19:00,25,230
8/7/2017 22:00,26,235
9/7/2017 1:00,22,230
9/7/2017 4:00,23,230
9/7/2017 7:00,26,240
9/7/2017 10:00,24,245
9/7/2017 13:00,19,245
9/7/2017 16:00,18,235
9/7/2017 19:00,23,250
9/7/2017 22:00,20,260
10/7/2017 1:00,25,250
10/7/2017 4:00,24,255
10/7/2017 7:00,24,260
10/7/2017 10:00,26,270
10/7/2017 13:00,27,255
10/7/2017 16:00,25,270
10/7/2017 19:00,26,285
10/7/2017 22:00,20,290
11/7/2017 1:00,26,310
11/7/2017 4:00,21,305
11/7/2017 7:00,23,285
11/7/2017 10:00,21,270
11/7/2017 13:00,18,265
11/7/2017 16:00,20,260
11/7/2017 19:00,23,260
11/7/2017 22:00,25,265
12/7/2017 1:00,25,250
12/7/2017 4:00,27,245
12/7/2017 7:00,28,250
12/7/2017 10:00,26,250
12/7/2017 13:00,22,255
12/7/2017 16:00,22,260
12/7/2017 19:00,23,255
12/7/2017 22:00,29,255
13/7/2017 01:00,39,245
13/7/2017 04:00,38,250
13/7/2017 07:00,36,260
13/7/2017 10:00,36,260
13/7/2017 13:00,30,255
13/7/2017 16:00,35,250
13/7/2017 19:00,35,250
13/7/2017 22:00,38,245
14/7/2017 01:00,35,255
14/7/2017 04:00,36,265
14/7/2017 07:00,36,270
14/7/2017 10:00,33,260
14/7/2017 13:00,27,270
14/7/2017 16:00,34,255
14/7/2017 19:00,35,270
14/7/2017 22:00,44,275
15/7/2017 01:00,36,285
15/7/2017 04:00,39,275
15/7/2017 07:00,54,275
15/7/2017 10:00,58,280
15/7/2017 13:00,50,290
15/7/2017 16:00,55,285
15/7/2017 19:00,47,275
15/7/2017 22:00,49,270
16/7/2017 01:00,41,275
16/7/2017 04:00,45,280
16/7/2017 07:00,43,270
16/7/2017 10:00,45,270
16/7/2017 13:00,37,285
16/7/2017 16:00,37,265
16/7/2017 19:00,40,275
16/7/2017 22:00,46,265
17/7/2017 01:00,44,265
17/7/2017 04:00,49,265
17/7/2017 07:00,54,270
17/7/2017 10:00,53,280
17/7/2017 13:00,58,265
17/7/2017 16:00,55,250
17/7/2017 19:00,55,250
17/7/2017 22:00,60,255
18/7/2017 01:00,50,250
18/7/2017 04:00,53,245
18/7/2017 07:00,48,255
18/7/2017 10:00,45,255
18/7/2017 13:00,38,265
18/7/2017 16:00,34,265
18/7/2017 19:00,31,255
18/7/2017 22:00,35,270
19/7/2017 01:00,37,275
19/7/2017 04:00,39,290
19/7/2017 07:00,35,285
19/7/2017 10:00,35,285
19/7/2017 13:00,28,285
19/7/2017 16:00,28,275
19/7/2017 19:00,35,270
19/7/2017 22:00,35,275
20/7/2017 01:00,36,285
20/7/2017 04:00,36,285
20/7/2017 07:00,36,285
20/7/2017 10:00,30,300
20/7/2017 13:00,18,320
20/7/2017 16:00,18,295
20/7/2017 19:00,22,265
20/7/2017 22:00,21,270
21/7/2017 01:00,24,270
21/7/2017 04:00,24,275
21/7/2017 07:00,12,300
21/7/2017 10:00,7,295
21/7/2017 13:00,12,275
21/7/2017 16:00,16,255
21/7/2017 19:00,16,255
21/7/2017 22:00,23,255
22/7/2017 01:00,31,255
22/7/2017 04:00,31,260
22/7/2017 07:00,23,260
22/7/2017 10:00,23,260
22/7/2017 13:00,25,265
22/7/2017 16:00,28,250
22/7/2017 19:00,32,250
22/7/2017 22:00,31,260
23/7/2017 01:00,31,275
23/7/2017 04:00,30,280
23/7/2017 07:00,24,275
23/7/2017 10:00,21,275
23/7/2017 13:00,18,270
23/7/2017 16:00,23,270
23/7/2017 19:00,32,270
23/7/2017 22:00,28,275
24/7/2017 01:00,29,290
24/7/2017 04:00,28,295
24/7/2017 07:00,26,305
24/7/2017 10:00,25,305
24/7/2017 13:00,22,290
24/7/2017 16:00,28,275
24/7/2017 19:00,32,280
24/7/2017 22:00,32,295
25/7/2017 01:00,37,300
25/7/2017 04:00,41,305
25/7/2017 07:00,40,320
25/7/2017 10:00,40,320
25/7/2017 13:00,35,325
25/7/2017 16:00,33,310
25/7/2017 19:00,32,305
25/7/2017 22:00,33,290
26/7/2017 01:00,33,295
26/7/2017 04:00,33,305
26/7/2017 07:00,37,305
26/7/2017 10:00,38,315
26/7/2017 13:00,36,320
26/7/2017 16:00,33,315
26/7/2017 19:00,27,305
26/7/2017 22:00,31,290
27/7/2017 01:00,41,295
27/7/2017 04:00,46,300
27/7/2017 07:00,40,305
27/7/2017 10:00,45,295
27/7/2017 13:00,33,300
27/7/2017 16:00,35,280
27/7/2017 19:00,35,280
27/7/2017 22:00,38,270
28/7/2017 01:00,37,275
28/7/2017 04:00,43,275
28/7/2017 07:00,39,275
28/7/2017 10:00,47,275
28/7/2017 13:00,31,275
28/7/2017 16:00,48,250
28/7/2017 19:00,53,255
28/7/2017 22:00,52,270
29/7/2017 01:00,49,280
29/7/2017 04:00,54,280
29/7/2017 07:00,31,285
29/7/2017 10:00,33,270
29/7/2017 13:00,35,270
29/7/2017 16:00,43,255
29/7/2017 19:00,39,250
29/7/2017 22:00,42,265
30/7/2017 01:00,42,270
30/7/2017 04:00,48,275
30/7/2017 07:00,36,280
30/7/2017 10:00,34,275
30/7/2017 13:00,28,265
30/7/2017 16:00,35,250
30/7/2017 19:00,33,255
30/7/2017 22:00,32,250
31/7/2017 01:00,38,265
31/7/2017 04:00,45,275
31/7/2017 07:00,44,285
31/7/2017 10:00,43,285
31/7/2017 13:00,30,280
31/7/2017 16:00,28,260
31/7/2017 19:00,29,250
31/7/2017 22:00,29,245
1/8/2017 1:00,30,250
1/8/2017 4:00,36,255
1/8/2017 7:00,38,260
1/8/2017 10:00,40,265
1/8/2017 13:00,31,265
1/8/2017 16:00,31,260
1/8/2017 19:00,36,250
1/8/2017 22:00,33,250
2/8/2017 1:00,33,255
2/8/2017 4:00,41,260
2/8/2017 7:00,40,255
2/8/2017 10:00,40,260
2/8/2017 13:00,34,255
2/8/2017 16:00,36,250
2/8/2017 19:00,40,245
2/8/2017 22:00,37,245
3/8/2017 1:00,37,255
3/8/2017 4:00,41,265
3/8/2017 7:00,40,270
3/8/2017 10:00,42,270
3/8/2017 13:00,42,270
3/8/2017 16:00,38,265
3/8/2017 19:00,44,260
3/8/2017 22:00,38,255
4/8/2017 1:00,39,265
4/8/2017 4:00,43,270
4/8/2017 7:00,40,270
4/8/2017 10:00,37,270
4/8/2017 13:00,31,255
4/8/2017 16:00,32,245
4/8/2017 19:00,37,235
4/8/2017 22:00,34,240
5/8/2017 1:00,36,250
5/8/2017 4:00,34,255
5/8/2017 7:00,33,260
5/8/2017 10:00,31,255
5/8/2017 13:00,32,245
5/8/2017 16:00,32,240
5/8/2017 19:00,32,220
5/8/2017 22:00,33,230
6/8/2017 1:00,29,245
6/8/2017 4:00,27,255
6/8/2017 7:00,20,250
6/8/2017 10:00,19,245
6/8/2017 13:00,18,240
6/8/2017 16:00,18,245
6/8/2017 19:00,22,225
6/8/2017 22:00,19,220
7/8/2017 1:00,16,215
7/8/2017 4:00,16,215
7/8/2017 7:00,20,220
7/8/2017 10:00,19,215
7/8/2017 13:00,19,215
7/8/2017 16:00,20,220
7/8/2017 19:00,23,215
7/8/2017 22:00,22,225
8/8/2017 1:00,26,225
8/8/2017 4:00,25,225
8/8/2017 7:00,22,225
8/8/2017 10:00,22,225
8/8/2017 13:00,20,225
8/8/2017 16:00,26,215
8/8/2017 19:00,27,225
8/8/2017 22:00,30,245
9/8/2017 1:00,25,245
9/8/2017 4:00,26,260
9/8/2017 7:00,28,265
9/8/2017 10:00,26,275
9/8/2017 13:00,25,275
9/8/2017 16:00,23,275
9/8/2017 19:00,32,265
9/8/2017 22:00,29,275
10/8/2017 1:00,25,270
10/8/2017 4:00,25,280
10/8/2017 7:00,23,270
10/8/2017 10:00,22,270
10/8/2017 13:00,20,260
10/8/2017 16:00,21,265
10/8/2017 19:00,26,260
10/8/2017 22:00,22,250
11/8/2017 1:00,26,260
11/8/2017 4:00,27,270
11/8/2017 7:00,28,265
11/8/2017 10:00,26,270
11/8/2017 13:00,22,270
11/8/2017 16:00,20,275
11/8/2017 19:00,25,270
11/8/2017 22:00,21,265
12/8/2017 1:00,19,255
12/8/2017 4:00,17,260
12/8/2017 7:00,18,260
12/8/2017 10:00,17,275
12/8/2017 13:00,8,270
12/8/2017 16:00,9,255
12/8/2017 19:00,16,260
12/8/2017 22:00,22,255
13/8/2017 01:00,17,240
13/8/2017 04:00,15,250
13/8/2017 07:00,9,245
13/8/2017 10:00,10,235
13/8/2017 13:00,10,240
13/8/2017 16:00,12,245
13/8/2017 19:00,12,245
13/8/2017 22:00,15,245
14/8/2017 01:00,12,255
14/8/2017 04:00,9,265
14/8/2017 07:00,11,255
14/8/2017 10:00,10,250
14/8/2017 13:00,11,220
14/8/2017 16:00,12,230
14/8/2017 19:00,18,240
14/8/2017 22:00,19,240
