date_time,wind speed,wind dir
7/1/2017 1:00,14,230
7/1/2017 4:00,14,235
7/1/2017 7:00,16,235
7/1/2017 10:00,17,240
7/1/2017 13:00,17,250
7/1/2017 16:00,22,265
7/1/2017 19:00,20,255
7/1/2017 22:00,17,235
7/2/2017 1:00,19,240
7/2/2017 4:00,22,245
7/2/2017 7:00,27,250
7/2/2017 10:00,31,255
7/2/2017 13:00,25,265
7/2/2017 16:00,25,275
7/2/2017 19:00,22,270
7/2/2017 22:00,23,270
7/3/2017 1:00,22,270
7/3/2017 4:00,24,270
7/3/2017 7:00,24,265
7/3/2017 10:00,24,265
7/3/2017 13:00,22,260
7/3/2017 16:00,22,265
7/3/2017 19:00,16,280
7/3/2017 22:00,14,280
7/4/2017 1:00,19,275
7/4/2017 4:00,22,270
7/4/2017 7:00,27,265
7/4/2017 10:00,28,265
7/4/2017 13:00,30,260
7/4/2017 16:00,34,265
7/4/2017 19:00,31,275
7/4/2017 22:00,31,275
7/5/2017 1:00,33,275
7/5/2017 4:00,34,265
7/5/2017 7:00,37,255
7/5/2017 10:00,36,255
7/5/2017 13:00,28,250
7/5/2017 16:00,26,250
7/5/2017 19:00,27,250
7/5/2017 22:00,30,250
7/6/2017 1:00,35,250
7/6/2017 4:00,39,245
7/6/2017 7:00,37,240
7/6/2017 10:00,36,240
7/6/2017 13:00,30,230
7/6/2017 16:00,29,235
7/6/2017 19:00,29,235
7/6/2017 22:00,34,235
7/7/2017 1:00,38,240
7/7/2017 4:00,41,245
7/7/2017 7:00,38,250
7/7/2017 10:00,34,250
7/7/2017 13:00,23,245
7/7/2017 16:00,24,250
7/7/2017 19:00,27,250
7/7/2017 22:00,27,250
7/8/2017 1:00,26,240
7/8/2017 4:00,28,235
7/8/2017 7:00,28,230
7/8/2017 10:00,32,235
7/8/2017 13:00,32,245
7/8/2017 16:00,27,255
7/8/2017 19:00,26,250
7/8/2017 22:00,21,235
7/9/2017 1:00,21,225
7/9/2017 4:00,24,225
7/9/2017 7:00,31,245
7/9/2017 10:00,29,255
7/9/2017 13:00,24,250
7/9/2017 16:00,22,255
7/9/2017 19:00,23,255
7/9/2017 22:00,22,250
7/10/2017 1:00,24,250
7/10/2017 4:00,28,250
7/10/2017 7:00,34,260
7/10/2017 10:00,34,265
7/10/2017 13:00,27,265
7/10/2017 16:00,26,270
7/10/2017 19:00,29,280
7/10/2017 22:00,24,290
7/11/2017 1:00,22,290
7/11/2017 4:00,22,285
7/11/2017 7:00,21,280
7/11/2017 10:00,21,270
7/11/2017 13:00,23,255
7/11/2017 16:00,28,260
7/11/2017 19:00,31,265
7/11/2017 22:00,34,265
7/12/2017 1:00,34,260
7/12/2017 4:00,35,260
7/12/2017 7:00,30,260
7/12/2017 10:00,27,260
7/12/2017 13:00,24,255
7/12/2017 16:00,28,260
7/12/2017 19:00,21,255
7/12/2017 22:00,23,260
7/13/2017 1:00,23,225
7/13/2017 4:00,25,230
7/13/2017 7:00,32,230
7/13/2017 10:00,32,235
7/13/2017 13:00,24,225
7/13/2017 16:00,30,235
7/13/2017 19:00,51,240
7/13/2017 22:00,61,245
7/14/2017 1:00,59,240
7/14/2017 4:00,61,245
7/14/2017 7:00,49,240
7/14/2017 10:00,50,250
7/14/2017 13:00,34,245
7/14/2017 16:00,48,260
7/14/2017 19:00,40,260
7/14/2017 22:00,52,255
7/15/2017 1:00,62,265
7/15/2017 4:00,62,260
7/15/2017 7:00,57,260
7/15/2017 10:00,58,260
7/15/2017 13:00,46,255
7/15/2017 16:00,46,260
7/15/2017 19:00,55,255
7/15/2017 22:00,61,255
7/16/2017 1:00,56,250
7/16/2017 4:00,59,255
7/16/2017 7:00,57,250
7/16/2017 10:00,59,250
7/16/2017 13:00,48,240
7/16/2017 16:00,54,255
7/16/2017 19:00,56,250
7/16/2017 22:00,59,250
7/17/2017 1:00,63,240
7/17/2017 4:00,70,245
7/17/2017 7:00,67,245
7/17/2017 10:00,71,250
7/17/2017 13:00,52,245
7/17/2017 16:00,53,245
7/17/2017 19:00,50,240
7/17/2017 22:00,53,250
7/18/2017 1:00,52,240
7/18/2017 4:00,53,240
7/18/2017 7:00,49,240
7/18/2017 10:00,45,245
7/18/2017 13:00,32,240
7/18/2017 16:00,27,245
7/18/2017 19:00,29,245
7/18/2017 22:00,32,255
7/19/2017 1:00,30,265
7/19/2017 4:00,32,265
7/19/2017 7:00,38,245
7/19/2017 10:00,37,250
7/19/2017 13:00,27,255
7/19/2017 16:00,27,260
7/19/2017 19:00,25,255
7/19/2017 22:00,26,260
7/20/2017 1:00,31,255
7/20/2017 4:00,33,265
7/20/2017 7:00,34,265
7/20/2017 10:00,37,270
7/20/2017 13:00,34,265
7/20/2017 16:00,37,270
7/20/2017 19:00,38,270
7/20/2017 22:00,37,270
7/21/2017 1:00,28,265
