datetime,province,temp,wind_dir,wind_speed
2020-07-01 01:00:00,BKK,28.7,240,15
2020-07-01 04:00:00,BKK,29.7,250,16
2020-07-01 07:00:00,BKK,30.8,220,13
2020-07-01 10:00:00,BKK,29.5,225,16
2020-07-01 13:00:00,BKK,29.2,255,21
2020-07-01 16:00:00,BKK,28.7,255,16
2020-07-01 19:00:00,BKK,28.5,240,12
2020-07-01 22:00:00,BKK,28.4,225,14
2020-07-02 01:00:00,BKK,28.3,230,9
2020-07-02 04:00:00,BKK,30.7,240,16
2020-07-02 07:00:00,BKK,32.7,225,13
2020-07-02 10:00:00,BKK,31.6,220,22
2020-07-02 13:00:00,BKK,28.4,210,18
2020-07-02 16:00:00,BKK,29.1,225,13
2020-07-02 19:00:00,BKK,28.7,235,11
2020-07-02 22:00:00,BKK,28.3,230,14
2020-07-03 01:00:00,BKK,28.8,220,12
2020-07-03 04:00:00,BKK,29.2,235,16
2020-07-03 07:00:00,BKK,30.2,215,11
2020-07-03 10:00:00,BKK,29.7,220,12
2020-07-03 13:00:00,BKK,28.0,240,28
2020-07-03 16:00:00,BKK,27.2,245,26
2020-07-03 19:00:00,BKK,27.5,255,11
2020-07-03 22:00:00,BKK,27.4,245,10
2020-07-04 01:00:00,BKK,27.9,210,5
2020-07-04 04:00:00,BKK,29.8,230,10
2020-07-04 07:00:00,BKK,29.9,250,13
2020-07-04 10:00:00,BKK,26.5,295,17
2020-07-04 13:00:00,BKK,27.8,265,5
2020-07-04 16:00:00,BKK,27.9,250,7
2020-07-04 19:00:00,BKK,27.6,250,7
2020-07-04 22:00:00,BKK,27.2,220,8
2020-07-05 01:00:00,BKK,27.5,190,8
2020-07-05 04:00:00,BKK,28.5,260,15
2020-07-05 07:00:00,BKK,29.7,220,9
2020-07-05 10:00:00,BKK,30.6,250,9
2020-07-05 13:00:00,BKK,29.1,220,10
2020-07-05 16:00:00,BKK,28.1,235,11
2020-07-05 19:00:00,BKK,27.5,265,12
2020-07-05 22:00:00,BKK,27.2,285,12
2020-07-06 01:00:00,BKK,27.4,270,9
2020-07-06 04:00:00,BKK,29.4,295,7
2020-07-06 07:00:00,BKK,32.5,225,4
2020-07-06 10:00:00,BKK,32.4,190,8
2020-07-06 13:00:00,BKK,30.9,185,11
2020-07-06 16:00:00,BKK,29.4,195,18
2020-07-06 19:00:00,BKK,28.9,200,8
2020-07-06 22:00:00,BKK,28.2,270,2
2020-07-07 01:00:00,BKK,28.5,290,5
2020-07-07 04:00:00,BKK,31.3,250,4
2020-07-07 07:00:00,BKK,32.7,180,7
2020-07-07 10:00:00,BKK,32.6,150,15
2020-07-07 13:00:00,BKK,30.3,165,21
2020-07-07 16:00:00,BKK,29.7,165,19
2020-07-07 19:00:00,BKK,28.9,175,14
2020-07-07 22:00:00,BKK,28.3,155,13
2020-07-08 01:00:00,BKK,28.8,160,10
2020-07-08 04:00:00,BKK,31.4,175,13
2020-07-08 07:00:00,BKK,32.3,180,12
2020-07-08 10:00:00,BKK,32.1,180,16
2020-07-08 13:00:00,BKK,30.0,175,15
2020-07-08 16:00:00,BKK,29.4,175,20
2020-07-08 19:00:00,BKK,28.9,185,15
2020-07-08 22:00:00,BKK,28.3,185,14
2020-07-09 01:00:00,BKK,28.8,225,9
2020-07-09 04:00:00,BKK,30.7,235,8
2020-07-09 07:00:00,BKK,32.5,210,10
2020-07-09 10:00:00,BKK,32.6,205,10
2020-07-09 13:00:00,BKK,31.0,165,11
2020-07-09 16:00:00,BKK,29.9,180,22
2020-07-09 19:00:00,BKK,29.4,185,12
2020-07-09 22:00:00,BKK,28.8,250,6
2020-07-10 01:00:00,BKK,29.0,265,5
2020-07-10 04:00:00,BKK,31.8,270,9
2020-07-10 07:00:00,BKK,33.5,245,11
2020-07-10 10:00:00,BKK,33.5,205,13
2020-07-10 13:00:00,BKK,31.5,185,16
2020-07-10 16:00:00,BKK,30.2,185,18
2020-07-10 19:00:00,BKK,29.7,215,10
2020-07-10 22:00:00,BKK,28.5,290,11
2020-07-11 01:00:00,BKK,28.3,275,11
2020-07-11 04:00:00,BKK,31.0,285,11
2020-07-11 07:00:00,BKK,33.0,230,9
2020-07-11 10:00:00,BKK,33.1,215,9
2020-07-11 13:00:00,BKK,31.4,205,8
2020-07-11 16:00:00,BKK,30.4,185,16
2020-07-11 19:00:00,BKK,29.6,185,12
2020-07-11 22:00:00,BKK,29.1,195,10
2020-07-12 01:00:00,BKK,29.2,270,7
2020-07-12 04:00:00,BKK,31.2,275,6
2020-07-12 07:00:00,BKK,32.5,235,6
2020-07-12 10:00:00,BKK,32.3,175,7
