,datetime,province,temp,wind_dir,wind_speed
0,2020-07-01 01:00:00,Chiangmai,24.1,220,4
1,2020-07-01 04:00:00,Chiangmai,29.7,210,4
2,2020-07-01 07:00:00,Chiangmai,31.5,215,8
3,2020-07-01 10:00:00,Chiangmai,31.3,240,8
4,2020-07-01 13:00:00,Chiangmai,26.1,235,8
5,2020-07-01 16:00:00,Chiangmai,24.2,230,6
6,2020-07-01 19:00:00,Chiangmai,23.2,215,3
7,2020-07-01 22:00:00,Chiangmai,22.8,200,1
8,2020-07-02 01:00:00,Chiangmai,23.9,175,1
9,2020-07-02 04:00:00,Chiangmai,28.8,165,2
10,2020-07-02 07:00:00,Chiangmai,31.6,230,5
11,2020-07-02 10:00:00,Chiangmai,31.8,225,5
12,2020-07-02 13:00:00,Chiangmai,26.0,235,2
13,2020-07-02 16:00:00,Chiangmai,24.2,215,2
14,2020-07-02 19:00:00,Chiangmai,23.6,205,3
15,2020-07-02 22:00:00,Chiangmai,23.0,220,2
16,2020-07-03 01:00:00,Chiangmai,24.3,205,2
17,2020-07-03 04:00:00,Chiangmai,29.3,190,3
18,2020-07-03 07:00:00,Chiangmai,31.5,195,6
19,2020-07-03 10:00:00,Chiangmai,30.3,235,7
20,2020-07-03 13:00:00,Chiangmai,25.8,200,6
21,2020-07-03 16:00:00,Chiangmai,24.6,230,2
22,2020-07-03 19:00:00,Chiangmai,23.7,285,2
23,2020-07-03 22:00:00,Chiangmai,22.9,195,3
24,2020-07-04 01:00:00,Chiangmai,23.5,110,1
25,2020-07-04 04:00:00,Chiangmai,23.8,180,4
26,2020-07-04 07:00:00,Chiangmai,27.7,155,4
27,2020-07-04 10:00:00,Chiangmai,27.1,145,7
28,2020-07-04 13:00:00,Chiangmai,25.2,175,5
29,2020-07-04 16:00:00,Chiangmai,23.6,175,3
30,2020-07-04 19:00:00,Chiangmai,23.2,195,2
31,2020-07-04 22:00:00,Chiangmai,22.9,255,1
32,2020-07-05 01:00:00,Chiangmai,23.0,185,3
33,2020-07-05 04:00:00,Chiangmai,26.6,160,3
34,2020-07-05 07:00:00,Chiangmai,26.9,270,4
35,2020-07-05 10:00:00,Chiangmai,29.2,220,5
36,2020-07-05 13:00:00,Chiangmai,25.1,175,5
37,2020-07-05 16:00:00,Chiangmai,23.7,225,4
38,2020-07-05 19:00:00,Chiangmai,23.0,250,4
39,2020-07-05 22:00:00,Chiangmai,22.4,250,1
40,2020-07-06 01:00:00,Chiangmai,23.5,105,1
41,2020-07-06 04:00:00,Chiangmai,29.3,210,2
42,2020-07-06 07:00:00,Chiangmai,32.0,195,3
43,2020-07-06 10:00:00,Chiangmai,31.0,195,5
44,2020-07-06 13:00:00,Chiangmai,26.1,210,2
45,2020-07-06 16:00:00,Chiangmai,24.5,230,1
46,2020-07-06 19:00:00,Chiangmai,23.5,290,2
47,2020-07-06 22:00:00,Chiangmai,22.8,260,1
48,2020-07-07 01:00:00,Chiangmai,23.9,40,1
49,2020-07-07 04:00:00,Chiangmai,28.3,190,4
50,2020-07-07 07:00:00,Chiangmai,30.3,155,5
51,2020-07-07 10:00:00,Chiangmai,31.1,115,4
52,2020-07-07 13:00:00,Chiangmai,26.4,195,1
53,2020-07-07 16:00:00,Chiangmai,24.3,160,2
54,2020-07-07 19:00:00,Chiangmai,23.1,260,1
55,2020-07-07 22:00:00,Chiangmai,22.3,290,0
56,2020-07-08 01:00:00,Chiangmai,23.4,5,2
57,2020-07-08 04:00:00,Chiangmai,27.9,180,4
58,2020-07-08 07:00:00,Chiangmai,31.1,160,6
59,2020-07-08 10:00:00,Chiangmai,30.3,180,5
60,2020-07-08 13:00:00,Chiangmai,25.1,145,2
61,2020-07-08 16:00:00,Chiangmai,23.9,155,2
