,datetime,province,temp,wind_dir,wind_speed
0,2020-07-01 01:00:00,Khonkaen,26.0,225,19
1,2020-07-01 04:00:00,Khonkaen,29.4,230,21
2,2020-07-01 07:00:00,Khonkaen,32.8,235,13
3,2020-07-01 10:00:00,Khonkaen,32.5,230,11
4,2020-07-01 13:00:00,Khonkaen,29.1,225,9
5,2020-07-01 16:00:00,Khonkaen,26.4,185,17
6,2020-07-01 19:00:00,Khonkaen,25.8,210,18
7,2020-07-01 22:00:00,Khonkaen,24.8,240,16
8,2020-07-02 01:00:00,Khonkaen,26.1,225,10
9,2020-07-02 04:00:00,Khonkaen,29.3,215,16
10,2020-07-02 07:00:00,Khonkaen,32.4,215,14
11,2020-07-02 10:00:00,Khonkaen,32.5,220,11
12,2020-07-02 13:00:00,Khonkaen,28.9,205,9
13,2020-07-02 16:00:00,Khonkaen,27.1,200,14
14,2020-07-02 19:00:00,Khonkaen,26.4,210,15
15,2020-07-02 22:00:00,Khonkaen,26.0,200,12
16,2020-07-03 01:00:00,Khonkaen,26.2,195,6
17,2020-07-03 04:00:00,Khonkaen,27.4,200,14
18,2020-07-03 07:00:00,Khonkaen,28.9,220,13
19,2020-07-03 10:00:00,Khonkaen,31.0,260,6
20,2020-07-03 13:00:00,Khonkaen,28.7,5,1
21,2020-07-03 16:00:00,Khonkaen,26.4,195,11
22,2020-07-03 19:00:00,Khonkaen,25.2,210,16
23,2020-07-03 22:00:00,Khonkaen,24.3,205,17
24,2020-07-04 01:00:00,Khonkaen,24.5,225,14
25,2020-07-04 04:00:00,Khonkaen,25.2,205,13
26,2020-07-04 07:00:00,Khonkaen,30.1,245,10
27,2020-07-04 10:00:00,Khonkaen,30.3,220,9
28,2020-07-04 13:00:00,Khonkaen,27.1,210,10
29,2020-07-04 16:00:00,Khonkaen,25.6,210,11
30,2020-07-04 19:00:00,Khonkaen,25.0,215,9
31,2020-07-04 22:00:00,Khonkaen,24.4,200,9
32,2020-07-05 01:00:00,Khonkaen,25.3,225,11
33,2020-07-05 04:00:00,Khonkaen,29.5,265,8
34,2020-07-05 07:00:00,Khonkaen,32.5,290,3
35,2020-07-05 10:00:00,Khonkaen,32.2,350,3
36,2020-07-05 13:00:00,Khonkaen,29.9,180,0
37,2020-07-05 16:00:00,Khonkaen,28.0,225,6
38,2020-07-05 19:00:00,Khonkaen,27.0,240,7
39,2020-07-05 22:00:00,Khonkaen,25.9,220,9
40,2020-07-06 01:00:00,Khonkaen,27.0,245,9
41,2020-07-06 04:00:00,Khonkaen,31.3,295,6
42,2020-07-06 07:00:00,Khonkaen,34.6,115,1
43,2020-07-06 10:00:00,Khonkaen,34.4,175,7
44,2020-07-06 13:00:00,Khonkaen,31.5,155,5
45,2020-07-06 16:00:00,Khonkaen,29.6,160,10
46,2020-07-06 19:00:00,Khonkaen,27.9,190,7
47,2020-07-06 22:00:00,Khonkaen,26.6,195,10
48,2020-07-07 01:00:00,Khonkaen,27.6,180,11
49,2020-07-07 04:00:00,Khonkaen,31.9,175,14
50,2020-07-07 07:00:00,Khonkaen,33.7,170,14
51,2020-07-07 10:00:00,Khonkaen,33.7,165,12
52,2020-07-07 13:00:00,Khonkaen,30.4,155,10
53,2020-07-07 16:00:00,Khonkaen,28.6,170,11
54,2020-07-07 19:00:00,Khonkaen,27.2,175,8
55,2020-07-07 22:00:00,Khonkaen,26.1,200,7
56,2020-07-08 01:00:00,Khonkaen,27.0,180,10
57,2020-07-08 04:00:00,Khonkaen,30.9,205,13
58,2020-07-08 07:00:00,Khonkaen,33.9,210,13
59,2020-07-08 10:00:00,Khonkaen,34.3,210,10
60,2020-07-08 13:00:00,Khonkaen,30.7,180,8
61,2020-07-08 16:00:00,Khonkaen,29.0,205,11
62,2020-07-08 19:00:00,Khonkaen,27.7,185,14
63,2020-07-08 22:00:00,Khonkaen,26.7,220,11
64,2020-07-09 01:00:00,Khonkaen,27.5,200,11
65,2020-07-09 04:00:00,Khonkaen,31.6,230,12
66,2020-07-09 07:00:00,Khonkaen,34.3,220,13
