,datetime,province,temp,wind_dir,wind_speed
0,2020-07-01 01:00:00,Rayong,28.2,245,16
1,2020-07-01 04:00:00,Rayong,29.6,250,18
2,2020-07-01 07:00:00,Rayong,29.5,235,16
3,2020-07-01 10:00:00,Rayong,29.3,220,16
4,2020-07-01 13:00:00,Rayong,29.0,240,24
5,2020-07-01 16:00:00,Rayong,28.8,255,23
6,2020-07-01 19:00:00,Rayong,28.0,225,19
7,2020-07-01 22:00:00,Rayong,28.1,225,17
8,2020-07-02 01:00:00,Rayong,28.5,220,13
9,2020-07-02 04:00:00,Rayong,29.5,235,26
10,2020-07-02 07:00:00,Rayong,28.9,230,22
11,2020-07-02 10:00:00,Rayong,29.0,245,29
12,2020-07-02 13:00:00,Rayong,28.7,240,25
13,2020-07-02 16:00:00,Rayong,28.6,240,22
14,2020-07-02 19:00:00,Rayong,28.0,240,22
15,2020-07-02 22:00:00,Rayong,27.8,240,21
16,2020-07-03 01:00:00,Rayong,28.3,230,20
17,2020-07-03 04:00:00,Rayong,29.1,225,21
18,2020-07-03 07:00:00,Rayong,29.4,220,23
19,2020-07-03 10:00:00,Rayong,28.7,230,28
20,2020-07-03 13:00:00,Rayong,27.1,250,36
21,2020-07-03 16:00:00,Rayong,27.5,260,24
22,2020-07-03 19:00:00,Rayong,27.7,265,10
23,2020-07-03 22:00:00,Rayong,27.7,230,12
24,2020-07-04 01:00:00,Rayong,27.6,195,22
25,2020-07-04 04:00:00,Rayong,28.8,220,18
26,2020-07-04 07:00:00,Rayong,28.9,235,23
27,2020-07-04 10:00:00,Rayong,28.8,255,22
28,2020-07-04 13:00:00,Rayong,28.3,265,16
29,2020-07-04 16:00:00,Rayong,28.0,250,17
30,2020-07-04 19:00:00,Rayong,27.7,240,11
31,2020-07-04 22:00:00,Rayong,27.0,260,11
32,2020-07-05 01:00:00,Rayong,26.6,335,8
33,2020-07-05 04:00:00,Rayong,27.4,295,5
34,2020-07-05 07:00:00,Rayong,28.8,235,11
35,2020-07-05 10:00:00,Rayong,29.4,220,11
36,2020-07-05 13:00:00,Rayong,28.4,195,15
37,2020-07-05 16:00:00,Rayong,28.2,225,18
38,2020-07-05 19:00:00,Rayong,28.2,265,18
39,2020-07-05 22:00:00,Rayong,27.8,285,12
40,2020-07-06 01:00:00,Rayong,27.7,290,10
41,2020-07-06 04:00:00,Rayong,29.2,285,6
42,2020-07-06 07:00:00,Rayong,30.3,230,11
43,2020-07-06 10:00:00,Rayong,30.2,220,14
44,2020-07-06 13:00:00,Rayong,28.9,190,16
45,2020-07-06 16:00:00,Rayong,28.6,190,17
46,2020-07-06 19:00:00,Rayong,28.6,185,14
47,2020-07-06 22:00:00,Rayong,28.3,185,12
48,2020-07-07 01:00:00,Rayong,28.6,180,9
49,2020-07-07 04:00:00,Rayong,29.7,170,14
50,2020-07-07 07:00:00,Rayong,30.5,175,12
51,2020-07-07 10:00:00,Rayong,29.7,180,18
52,2020-07-07 13:00:00,Rayong,28.4,160,15
53,2020-07-07 16:00:00,Rayong,27.8,170,18
54,2020-07-07 19:00:00,Rayong,27.6,175,15
55,2020-07-07 22:00:00,Rayong,27.5,175,15
56,2020-07-08 01:00:00,Rayong,28.0,185,11
57,2020-07-08 04:00:00,Rayong,29.6,200,15
58,2020-07-08 07:00:00,Rayong,29.8,195,15
59,2020-07-08 10:00:00,Rayong,29.6,195,18
60,2020-07-08 13:00:00,Rayong,28.2,185,16
61,2020-07-08 16:00:00,Rayong,28.0,175,16
62,2020-07-08 19:00:00,Rayong,27.8,210,11
63,2020-07-08 22:00:00,Rayong,27.7,220,11
64,2020-07-09 01:00:00,Rayong,28.4,200,11
65,2020-07-09 04:00:00,Rayong,29.5,210,11
66,2020-07-09 07:00:00,Rayong,30.2,210,11
67,2020-07-09 10:00:00,Rayong,30.0,215,12
68,2020-07-09 13:00:00,Rayong,28.6,175,15
69,2020-07-09 16:00:00,Rayong,28.3,180,16
70,2020-07-09 19:00:00,Rayong,28.2,180,12
71,2020-07-09 22:00:00,Rayong,28.1,220,12
72,2020-07-10 01:00:00,Rayong,28.6,230,10
73,2020-07-10 04:00:00,Rayong,29.9,230,10
74,2020-07-10 07:00:00,Rayong,30.6,230,12
75,2020-07-10 10:00:00,Rayong,30.1,210,15
76,2020-07-10 13:00:00,Rayong,28.7,180,16
77,2020-07-10 16:00:00,Rayong,28.4,195,16
78,2020-07-10 19:00:00,Rayong,28.2,195,11
79,2020-07-10 22:00:00,Rayong,27.8,230,11
80,2020-07-11 01:00:00,Rayong,28.2,245,8
81,2020-07-11 04:00:00,Rayong,29.8,270,5
82,2020-07-11 07:00:00,Rayong,30.6,235,7
83,2020-07-11 10:00:00,Rayong,30.1,235,9
84,2020-07-11 13:00:00,Rayong,28.9,180,11
85,2020-07-11 16:00:00,Rayong,28.2,165,17
86,2020-07-11 19:00:00,Rayong,28.1,195,13
87,2020-07-11 22:00:00,Rayong,27.9,195,7
88,2020-07-12 01:00:00,Rayong,28.4,200,7
89,2020-07-12 04:00:00,Rayong,29.4,195,10
90,2020-07-12 07:00:00,Rayong,30.2,225,10
91,2020-07-12 10:00:00,Rayong,29.9,200,16
92,2020-07-12 13:00:00,Rayong,28.5,180,11
93,2020-07-12 16:00:00,Rayong,28.3,180,11
94,2020-07-12 19:00:00,Rayong,28.2,230,17
95,2020-07-12 22:00:00,Rayong,27.5,210,19
96,2020-07-13 01:00:00,Rayong,27.5,175,11
97,2020-07-13 04:00:00,Rayong,28.0,185,13
98,2020-07-13 07:00:00,Rayong,28.7,185,9
99,2020-07-13 10:00:00,Rayong,29.1,190,12
100,2020-07-13 13:00:00,Rayong,28.2,195,15
101,2020-07-13 16:00:00,Rayong,27.8,235,16
102,2020-07-13 19:00:00,Rayong,27.1,250,27
103,2020-07-13 22:00:00,Rayong,25.7,210,13
104,2020-07-14 01:00:00,Rayong,25.1,255,15
105,2020-07-14 04:00:00,Rayong,25.8,0,9
106,2020-07-14 07:00:00,Rayong,28.6,260,7
107,2020-07-14 10:00:00,Rayong,28.9,245,9
108,2020-07-14 13:00:00,Rayong,28.1,255,9
109,2020-07-14 16:00:00,Rayong,27.8,215,12
110,2020-07-14 19:00:00,Rayong,27.5,220,10
111,2020-07-14 22:00:00,Rayong,27.6,230,7
112,2020-07-15 01:00:00,Rayong,27.6,225,4
113,2020-07-15 04:00:00,Rayong,29.0,210,9
114,2020-07-15 07:00:00,Rayong,29.4,245,13
115,2020-07-15 10:00:00,Rayong,28.6,250,10
116,2020-07-15 13:00:00,Rayong,28.2,195,3
117,2020-07-15 16:00:00,Rayong,27.9,185,9
118,2020-07-15 19:00:00,Rayong,27.8,190,7
119,2020-07-15 22:00:00,Rayong,27.5,200,7
120,2020-07-16 01:00:00,Rayong,27.9,235,5
121,2020-07-16 04:00:00,Rayong,29.3,295,3
122,2020-07-16 07:00:00,Rayong,29.1,330,2
123,2020-07-16 10:00:00,Rayong,29.2,195,6
124,2020-07-16 13:00:00,Rayong,28.4,220,6
125,2020-07-16 16:00:00,Rayong,28.0,210,8
126,2020-07-16 19:00:00,Rayong,27.8,185,9
127,2020-07-16 22:00:00,Rayong,27.5,205,10
128,2020-07-17 01:00:00,Rayong,27.9,230,9
129,2020-07-17 04:00:00,Rayong,29.3,235,11
130,2020-07-17 07:00:00,Rayong,29.9,215,9
131,2020-07-17 10:00:00,Rayong,29.8,190,12
132,2020-07-17 13:00:00,Rayong,28.6,180,12
133,2020-07-17 16:00:00,Rayong,28.1,180,13
134,2020-07-17 19:00:00,Rayong,28.0,155,9
135,2020-07-17 22:00:00,Rayong,27.7,175,9
136,2020-07-18 01:00:00,Rayong,28.3,180,5
137,2020-07-18 04:00:00,Rayong,29.8,175,10
138,2020-07-18 07:00:00,Rayong,30.5,190,13
139,2020-07-18 10:00:00,Rayong,30.5,185,12
140,2020-07-18 13:00:00,Rayong,28.9,170,12
141,2020-07-18 16:00:00,Rayong,28.5,165,11
142,2020-07-18 19:00:00,Rayong,28.3,175,12
143,2020-07-18 22:00:00,Rayong,28.1,195,12
144,2020-07-19 01:00:00,Rayong,28.6,185,12
145,2020-07-19 04:00:00,Rayong,29.9,190,15
146,2020-07-19 07:00:00,Rayong,30.6,205,15
147,2020-07-19 10:00:00,Rayong,30.2,205,15
148,2020-07-19 13:00:00,Rayong,28.9,185,13
149,2020-07-19 16:00:00,Rayong,28.5,185,12
150,2020-07-19 19:00:00,Rayong,28.4,185,12
151,2020-07-19 22:00:00,Rayong,28.0,175,14
152,2020-07-20 01:00:00,Rayong,28.7,190,14
153,2020-07-20 04:00:00,Rayong,29.9,225,14
154,2020-07-20 07:00:00,Rayong,30.5,210,11
155,2020-07-20 10:00:00,Rayong,30.2,195,13
156,2020-07-20 13:00:00,Rayong,28.7,165,14
157,2020-07-20 16:00:00,Rayong,28.1,150,17
158,2020-07-20 19:00:00,Rayong,27.7,145,12
159,2020-07-20 22:00:00,Rayong,27.6,145,13
160,2020-07-21 01:00:00,Rayong,28.1,135,9
161,2020-07-21 04:00:00,Rayong,28.9,125,10
162,2020-07-21 07:00:00,Rayong,30.1,175,12
163,2020-07-21 10:00:00,Rayong,29.6,195,13
164,2020-07-21 13:00:00,Rayong,28.6,185,11
165,2020-07-21 16:00:00,Rayong,28.3,180,11
166,2020-07-21 19:00:00,Rayong,28.0,205,5
167,2020-07-21 22:00:00,Rayong,27.6,175,5
168,2020-07-22 01:00:00,Rayong,28.3,160,6
169,2020-07-22 04:00:00,Rayong,29.5,135,12
170,2020-07-22 07:00:00,Rayong,29.9,165,11
171,2020-07-22 10:00:00,Rayong,29.4,160,14
172,2020-07-22 13:00:00,Rayong,28.5,175,9
173,2020-07-22 16:00:00,Rayong,28.1,175,11
174,2020-07-22 19:00:00,Rayong,27.8,165,10
175,2020-07-22 22:00:00,Rayong,27.4,165,14
176,2020-07-23 01:00:00,Rayong,28.1,190,8
177,2020-07-23 04:00:00,Rayong,29.7,170,8
178,2020-07-23 07:00:00,Rayong,30.3,180,13
179,2020-07-23 10:00:00,Rayong,30.0,185,12
180,2020-07-23 13:00:00,Rayong,28.7,185,11
181,2020-07-23 16:00:00,Rayong,28.2,190,12
182,2020-07-23 19:00:00,Rayong,27.9,180,10
183,2020-07-23 22:00:00,Rayong,27.7,180,10
184,2020-07-24 01:00:00,Rayong,27.3,185,10
185,2020-07-24 04:00:00,Rayong,28.0,160,15
186,2020-07-24 07:00:00,Rayong,29.3,185,12
187,2020-07-24 10:00:00,Rayong,28.4,190,8
188,2020-07-24 13:00:00,Rayong,27.6,160,6
189,2020-07-24 16:00:00,Rayong,27.6,155,11
190,2020-07-24 19:00:00,Rayong,27.7,155,10
191,2020-07-24 22:00:00,Rayong,27.3,165,9
192,2020-07-25 01:00:00,Rayong,27.6,155,7
193,2020-07-25 04:00:00,Rayong,28.5,170,6
