datetime,province,temp,wind_dir,wind_speed
2020-07-01 01:00:00,Saraburi,25.8,190,11
2020-07-01 04:00:00,Saraburi,28.7,225,16
2020-07-01 07:00:00,Saraburi,30.3,225,17
2020-07-01 10:00:00,Saraburi,30.2,225,19
2020-07-01 13:00:00,Saraburi,26.9,200,12
2020-07-01 16:00:00,Saraburi,26.2,215,9
2020-07-01 19:00:00,Saraburi,25.6,185,8
2020-07-01 22:00:00,Saraburi,25.1,180,8
2020-07-02 01:00:00,Saraburi,26.0,180,8
2020-07-02 04:00:00,Saraburi,30.1,215,16
2020-07-02 07:00:00,Saraburi,32.6,225,12
2020-07-02 10:00:00,Saraburi,30.9,205,15
2020-07-02 13:00:00,Saraburi,26.7,185,14
2020-07-02 16:00:00,Saraburi,25.4,170,15
2020-07-02 19:00:00,Saraburi,25.3,155,10
2020-07-02 22:00:00,Saraburi,25.4,180,11
2020-07-03 01:00:00,Saraburi,25.7,170,11
2020-07-03 04:00:00,Saraburi,28.5,205,15
2020-07-03 07:00:00,Saraburi,31.6,210,15
2020-07-03 10:00:00,Saraburi,30.3,210,20
2020-07-03 13:00:00,Saraburi,26.7,205,17
2020-07-03 16:00:00,Saraburi,24.9,205,17
2020-07-03 19:00:00,Saraburi,24.6,175,8
2020-07-03 22:00:00,Saraburi,24.5,155,5
2020-07-04 01:00:00,Saraburi,24.5,165,5
2020-07-04 04:00:00,Saraburi,25.8,175,2
2020-07-04 07:00:00,Saraburi,25.6,190,7
2020-07-04 10:00:00,Saraburi,25.5,195,10
2020-07-04 13:00:00,Saraburi,24.9,160,9
2020-07-04 16:00:00,Saraburi,24.4,170,11
2020-07-04 19:00:00,Saraburi,24.4,180,8
2020-07-04 22:00:00,Saraburi,24.2,180,8
2020-07-05 01:00:00,Saraburi,24.6,175,7
2020-07-05 04:00:00,Saraburi,28.6,235,15
2020-07-05 07:00:00,Saraburi,31.8,255,14
2020-07-05 10:00:00,Saraburi,31.2,215,11
2020-07-05 13:00:00,Saraburi,27.5,165,5
2020-07-05 16:00:00,Saraburi,25.8,200,9
2020-07-05 19:00:00,Saraburi,25.3,190,7
2020-07-05 22:00:00,Saraburi,24.5,165,2
2020-07-06 01:00:00,Saraburi,26.0,170,5
2020-07-06 04:00:00,Saraburi,29.7,225,6
2020-07-06 07:00:00,Saraburi,33.3,315,3
2020-07-06 10:00:00,Saraburi,33.0,170,3
2020-07-06 13:00:00,Saraburi,29.4,135,4
2020-07-06 16:00:00,Saraburi,26.7,150,6
2020-07-06 19:00:00,Saraburi,25.7,180,11
2020-07-06 22:00:00,Saraburi,25.1,160,9
2020-07-07 01:00:00,Saraburi,26.5,170,8
2020-07-07 04:00:00,Saraburi,30.4,200,12
2020-07-07 07:00:00,Saraburi,32.7,170,10
2020-07-07 10:00:00,Saraburi,31.9,160,13
2020-07-07 13:00:00,Saraburi,27.7,145,13
2020-07-07 16:00:00,Saraburi,26.3,150,11
2020-07-07 19:00:00,Saraburi,25.4,145,7
2020-07-07 22:00:00,Saraburi,24.9,145,9
2020-07-08 01:00:00,Saraburi,25.9,135,8
2020-07-08 04:00:00,Saraburi,30.3,170,14
2020-07-08 07:00:00,Saraburi,32.5,175,12
2020-07-08 10:00:00,Saraburi,31.9,180,11
2020-07-08 13:00:00,Saraburi,27.7,130,7
2020-07-08 16:00:00,Saraburi,26.7,155,9
2020-07-08 19:00:00,Saraburi,26.0,160,8
2020-07-08 22:00:00,Saraburi,25.4,155,7
2020-07-09 01:00:00,Saraburi,26.2,160,9
2020-07-09 04:00:00,Saraburi,30.0,190,16
2020-07-09 07:00:00,Saraburi,32.2,195,13
2020-07-09 10:00:00,Saraburi,32.5,195,11
2020-07-09 13:00:00,Saraburi,29.0,140,8
2020-07-09 16:00:00,Saraburi,27.4,155,9
2020-07-09 19:00:00,Saraburi,26.2,190,8
2020-07-09 22:00:00,Saraburi,25.9,165,9
2020-07-10 01:00:00,Saraburi,26.8,160,9
2020-07-10 04:00:00,Saraburi,30.6,195,12
2020-07-10 07:00:00,Saraburi,33.4,210,10
2020-07-10 10:00:00,Saraburi,34.2,220,10
2020-07-10 13:00:00,Saraburi,29.5,155,10
2020-07-10 16:00:00,Saraburi,27.5,180,10
2020-07-10 19:00:00,Saraburi,26.4,155,9
2020-07-10 22:00:00,Saraburi,26.0,160,7
