,datetime,province,temp,wind_dir,wind_speed
0,2020-07-01 01:00:00,Surat,25.4,250,7
1,2020-07-01 04:00:00,Surat,29.3,235,10
2,2020-07-01 07:00:00,Surat,31.7,235,10
3,2020-07-01 10:00:00,Surat,31.8,230,9
4,2020-07-01 13:00:00,Surat,27.3,270,4
5,2020-07-01 16:00:00,Surat,25.9,230,5
6,2020-07-01 19:00:00,Surat,25.1,215,6
7,2020-07-01 22:00:00,Surat,24.6,225,8
8,2020-07-02 01:00:00,Surat,25.6,235,8
9,2020-07-02 04:00:00,Surat,29.6,220,13
10,2020-07-02 07:00:00,Surat,31.4,230,10
11,2020-07-02 10:00:00,Surat,29.1,245,15
12,2020-07-02 13:00:00,Surat,26.1,240,8
13,2020-07-02 16:00:00,Surat,25.7,205,9
14,2020-07-02 19:00:00,Surat,25.3,215,8
15,2020-07-02 22:00:00,Surat,25.0,220,9
16,2020-07-03 01:00:00,Surat,25.4,220,9
17,2020-07-03 04:00:00,Surat,27.8,215,12
18,2020-07-03 07:00:00,Surat,31.5,235,10
19,2020-07-03 10:00:00,Surat,30.5,265,8
20,2020-07-03 13:00:00,Surat,26.8,270,4
21,2020-07-03 16:00:00,Surat,26.2,255,3
22,2020-07-03 19:00:00,Surat,25.7,215,3
23,2020-07-03 22:00:00,Surat,25.1,250,4
24,2020-07-04 01:00:00,Surat,25.5,215,5
25,2020-07-04 04:00:00,Surat,29.6,225,6
26,2020-07-04 07:00:00,Surat,30.5,250,6
27,2020-07-04 10:00:00,Surat,29.4,90,6
28,2020-07-04 13:00:00,Surat,26.4,195,3
29,2020-07-04 16:00:00,Surat,25.8,185,4
30,2020-07-04 19:00:00,Surat,25.4,185,3
31,2020-07-04 22:00:00,Surat,25.1,190,4
32,2020-07-05 01:00:00,Surat,25.4,225,4
33,2020-07-05 04:00:00,Surat,30.0,235,5
34,2020-07-05 07:00:00,Surat,31.8,250,2
35,2020-07-05 10:00:00,Surat,30.3,75,4
36,2020-07-05 13:00:00,Surat,26.4,165,2
37,2020-07-05 16:00:00,Surat,25.7,205,2
38,2020-07-05 19:00:00,Surat,25.6,215,3
39,2020-07-05 22:00:00,Surat,24.7,230,4
40,2020-07-06 01:00:00,Surat,25.7,245,4
41,2020-07-06 04:00:00,Surat,29.6,235,7
42,2020-07-06 07:00:00,Surat,32.0,220,4
43,2020-07-06 10:00:00,Surat,32.0,225,2
44,2020-07-06 13:00:00,Surat,27.0,220,3
45,2020-07-06 16:00:00,Surat,26.2,230,4
46,2020-07-06 19:00:00,Surat,25.0,215,5
47,2020-07-06 22:00:00,Surat,24.6,210,6
48,2020-07-07 01:00:00,Surat,25.3,255,3
49,2020-07-07 04:00:00,Surat,28.7,230,6
50,2020-07-07 07:00:00,Surat,28.0,275,5
51,2020-07-07 10:00:00,Surat,25.7,270,9
52,2020-07-07 13:00:00,Surat,24.8,235,7
